No,Date,Age,Dist.MRT,N.Cstores,latitude,longitude,Dist,Y
1,2012.917,32,84.87882,10,24.98298,121.54024,7.994280394,37.9
2,2012.917,19.5,306.5947,9,24.98034,121.53951,8.155977582,42.2
3,2013.583,13.3,561.9845,5,24.98746,121.54391,7.668843669,47.3
4,2013.5,13.3,561.9845,5,24.98746,121.54391,7.668843669,54.8
5,2012.833,5,390.5684,5,24.97937,121.54245,8.149689947,43.1
6,2012.667,7.1,2175.03,3,24.96305,121.51254,9.728882436,32.1
7,2012.667,34.5,623.4731,7,24.97933,121.53642,8.278030586,40.3
8,2013.417,20.3,287.6025,6,24.98042,121.54228,8.094434735,46.7
9,2013.5,31.7,5512.038,1,24.95095,121.48458,11.13668869,18.8
10,2013.417,17.9,1783.18,3,24.96731,121.51486,9.443506817,22.1
11,2013.083,34.8,405.2134,1,24.97349,121.53372,8.658594808,41.4
12,2013.333,6.3,90.45606,9,24.97433,121.5431,8.419763004,58.1
13,2012.917,13,492.2313,5,24.96515,121.53737,9.046548342,39.3
14,2012.667,20.4,2469.645,4,24.96108,121.51046,9.886995753,23.8
15,2013.5,13.2,1164.838,4,24.99156,121.53406,7.667140562,34.3
16,2013.583,35.7,579.2083,2,24.9824,121.54619,7.90647173,50.5
17,2013.25,0,292.9978,6,24.97744,121.54458,8.216426136,70.1
18,2012.75,17.7,350.8515,1,24.97544,121.53119,8.608069551,37.4
19,2013.417,16.9,368.1363,8,24.9675,121.54451,8.779911124,42.3
20,2012.667,1.5,23.38284,7,24.96772,121.54102,8.831645065,47.7
21,2013.417,4.5,2275.877,3,24.96314,121.51151,9.750894927,29.3
22,2013.417,10.5,279.1726,7,24.97528,121.54541,8.322710778,51.6
23,2012.917,14.7,1360.139,1,24.95204,121.54842,9.601378121,24.6
24,2013.083,10.1,279.1726,7,24.97528,121.54541,8.322710778,47.9
25,2013,39.6,480.6977,4,24.97353,121.53885,8.548364479,38.8
26,2013.083,29.3,1487.868,2,24.97542,121.51726,8.953256089,27
27,2012.667,3.1,383.8624,5,24.98085,121.54391,8.037861306,56.2
28,2013.25,10.4,276.449,5,24.95593,121.53913,9.533148386,33.6
29,2013.5,19.2,557.478,4,24.97419,121.53797,8.529620606,47
